datetime,open,high,low,close
2015-11-08,384.27802,389.89499,368.70001,373.36801
2015-11-09,374.32401,385.27802,362.89499,380.25699
2015-11-10,379.98401,381.38699,329.108,336.819
2015-11-11,339.82001,340.58499,300.99701,311.08401
2015-11-12,314.07901,345.08099,313.35599,338.15201
2015-11-13,338.49799,340.914,326.07501,336.75299
2015-11-14,336.62399,338.181,329.97,332.90601
2015-11-15,333.05099,334.66199,317.48999,320.16599
2015-11-16,319.73499,331.62601,315.905,330.75101
2015-11-17,330.362,338.35001,329.61401,335.09399
2015-11-18,334.59299,336.53101,330.64001,334.59
2015-11-19,334.67899,335.33401,325.27301,326.14899
2015-11-20,326.41101,326.47299,312.21701,322.022
2015-11-21,322.09201,328.159,319.595,326.927
2015-11-22,326.97501,327.01001,321.259,324.53601
2015-11-23,324.35001,325.11801,321.29001,323.04599
2015-11-24,323.01401,323.05801,318.11801,320.04599
2015-11-25,320.04501,329.134,316.76999,328.20599
2015-11-26,328.30301,366.75699,328.229,352.68399
2015-11-27,351.86099,363.58899,347.87,358.04199
2015-11-28,357.14099,359.53601,352.172,357.38101
2015-11-29,357.47198,371.939,355.66599,371.29401
2015-11-30,371.43701,382.36301,370.383,377.32101
2015-12-01,377.414,378.931,356.56299,362.48801
2015-12-02,361.845,362.23199,349.465,359.18701
2015-12-03,359.33099,370.27499,357.41199,361.04599
2015-12-04,361.26199,363.51599,355.75699,363.18301
2015-12-05,363.72101,389.785,363.229,388.94901
2015-12-06,389.55499,402.80899,387.08899,388.78299
2015-12-07,389.978,399.96899,385.41101,395.53601
2015-12-08,395.754,415.56299,389.95001,415.56299
2015-12-09,414.44101,423.12,406.29099,417.56299
2015-12-10,417.98801,419.509,411.548,415.479
2015-12-11,415.28101,451.93799,415.28101,451.93799
2015-12-12,452.33499,469.103,410.741,434.99701
2015-12-13,431.66,441.67999,426.26801,433.755
2015-12-14,433.272,447.142,430.45599,444.18201
2015-12-15,443.87799,465.32101,443.87799,465.32101
2015-12-16,465.20801,465.20801,443.85101,454.93399
